Adrenaline Rush,100,"0,40","0,00","14,20","58,4",прочее,35,,,,,,,,,2,163,"3,6",,
F100 Multipower,100,"87,50","0,50","2,40","364,1",протеин,66,,"16,4",,"2,26","2,1","19,6",,"12,6","2,9",440,"1,3",,160
F80 Ironman,100,"80,00","8,00","0,80",360,протеин,66,,"16,4",,"2,26","2,1","19,6",,"12,6","2,9",440,"1,3",,160
Powerade,100,"0,00","0,00","6,00",24,прочее,,,,,,,,,,,,,,
Whey Protein Multipower,100,"75,00","5,60","9,50","388,4",протеин,66,,"16,4",,"2,26","2,1","19,6",,"12,6","2,9",440,"1,3",,160
Whey Protein Prostar (Ultimate Nutrition),100,"75,00","5,00","10,00",385,протеин,,,,,,,,,,,,,,
Абрикосовый сок,100,"0,50","0,00","13,70",56,соки,,,,,,,,,,,,,,
Абрикосы,100,"0,90","0,10","9,00",41,фрукты,,261,"8,80E-04",,,,,,,"0,05",,,,
Абрикосы сушеные без косточки (курага),100,"5,20","0,00","55,00",234,сухофрукты,,,,,,,,,,,,,,
Абрикосы сушеные с косточкой (урюк),100,"5,00","0,00","53,00",227,сухофрукты,,,,,,,,,,,,,,
Авокадо,100,"2,00","15,30","4,10","162,1",овощи,,45,"1,34E-03",,,,,,,,,,,
Айва,100,"0,60","0,50","7,90",40,фрукты,,,,,,,,,,,,,,
Айвовый сок,100,"0,50","0,00","10,40",45,соки,,,,,,,,,,,,,,
Алыча,100,"0,20","0,00","6,40",27,фрукты,,,,,,,,,,,,,,
Ананас,100,"0,40","0,20","11,50","46,5",фрукты,"20,00","40,00",,,"0,08","0,03","0,2",,"0,2","0,1",5,,,
Ананасовый сок,100,"0,40","0,10","15,70",68,соки,,,,,,,,,,,,,,
Апельсин,100,"0,90","0,20","8,10",40,фрукты,,,,,,,,,,,,,,
Апельсиновый сок,100,"0,70","0,00","12,80",54,соки,,,,,,,,,,,,,,
арахис,100,"26,00","48,10","8,60","571,3",орехи,,,,,,,,,,,,,,
Арбуз,100,"0,70","0,20","8,80",38,фрукты,,"37,00",,,,"0,03","0,24",,,"0,09",8,,,
Ацидофилин,100,"2,80","3,20","3,80",57,молочные,,,,,,,,,,,,,,
Баклажаны,100,"1,20","0,10","5,10",24,овощи,,,,,,,,,,"0,15","18,5",,,
Балык осетровый,100,"20,40","12,50","0,00",194,рыба,,,,,"0,04","0,1","1,7",,,,,,,
Бамия,100,"0,20","0,10","8,00",23,овощи,,,,,,,,,,,,,,
Банан,100,"1,50","0,50","21,00","89,3",фрукты,"10,00","100,00","0,40",,"0,04","0,05","0,6",,"0,3","0,4",10,,,
Бананы сушеные,100,"3,90","1,80","80,50",390,сухофрукты,,,,,,,,,,,,,,
Баранина отварная,100,"22,00","17,20","0,00",243,мясо,,,,,,,,,,,,,,
Баранки простые,100,"10,40","1,30","64,10",317,мучное,,,,,,,,,,,,,,
Баранки сдобные,100,"8,30","8,00","59,70",349,мучное,,,,,,,,,,,,,,
Бастурма сыровяленная (Останкино),100,"38,00","9,00","0,00",233,мясо,,,,,,,,,,,,,,
Бастурма сыровяленная (Черкизовский),100,"25,00","5,00","0,00",145,мясо,,,,,,,,,,,,,,
Бастурма тюркская (Царицыно),100,"27,90","1,20","0,00","122,4",мясо,,,,,,,,,,,,,,
Батон нарезной,100,"7,70","3,00","49,80",262,хлеб,,,,,,,,,,,,,,
Батон простой,100,"8,00","0,90","48,90",235,хлеб,,,,,,,,,,,,,,
Батон столовый,100,"7,60","5,60","49,40",284,хлеб,,,,,,,,,,,,,,
Батончик с отрубями,100,"9,20","2,80","51,40",273,хлеб,,,,,,,,,,,,,,
Батончики,100,"10,60","30,50","50,50","518,9",сладости,,,,,,,,,,,,,,
Белуга бланшированная,100,"23,30","15,60","0,00",234,рыба,,,,,,,,,,,,,,
Белые грибы,100,"3,70","1,70","1,10",23,грибы,,,,,,,,,,"7,00E-02",,,,
Белые грибы сушеные,100,"20,10","4,80","7,60",152,грибы,,,,,,,,,,,,,,
Белый хлеб хрустящий,100,"10,00","7,60","62,10",369,хлеб,,,,,,,,,,,,,,
Беляши,100,"11,00","10,00","23,20",223,смеш.блюда,,,,,,,,,,,,,,
Бефстроганов,100,"18,00","14,30","6,60",228,мясо,,,,,,,,,,,,,,
Биточки паровые,100,"14,00","11,60","8,20",194,мясо,,,,,,,,,,,,,,
Бифштекс,100,"28,80","11,00","0,00",214,мясо,,,,,,,,,,,,,,
Блинчики с творогом и сметаной,100,"25,80","33,10","55,20",640,смеш.блюда,,,,,,,,,,,,,,
Блины,100,"5,10","3,10","34,30",186,мучное,,,,,,,,,,,,,,
Бобы,100,"6,00","0,10","8,50",60,овощи,,,,,,,,,,,,,,
Борщ из квашеной капусты,100,"2,50","5,30","8,80",93,супы,,,,,,,,,,,,,,
Борщ из свежей капусты с томатами,100,"2,60","5,20","9,80",97,супы,,,,,,,,,,,,,,
Борщ летний,100,"1,10","2,10","6,40",49,супы,,,,,,,,,,,,,,
Борщ с капустой и картофелем,100,"0,90","2,10","5,20",43,супы,,,,,,,,,,,,,,
Борщ сибирский,100,"1,90","1,50","6,80",48,супы,,,,,,,,,,,,,,
Борщ украинский,100,"1,10","2,20","6,70",49,супы,,,,,,,,,,,,,,
Бренди 40% алкоголя,100,"0,00","0,00","0,50",225,алкоголь,,,,,,,,,,,,,,
Брусника,100,"0,70","0,50","8,20","40,1",ягоды,"4,8",50,,,,,,,,,,,,
Брынза из коровьего молока,100,"17,90","20,10","0,00",260,сыры,,,,,,,,,,,,,,
Брынза из овечьего молока,100,"14,60","25,50","0,00",298,сыры,,,,,,,,,,,,,,
Брынза коровья,100,"17,90","20,10","0,00","252,5",сыры,,,,,,,,,,,,,,
Брынза Фетаки,100,"17,00","17,70","0,00","227,3",сыры,,,,,,,,,,,,,,
Брюква,100,"1,20","0,10","7,40",34,овощи,,,,,,,,,,,,,,
Бублики,100,"9,00","1,10","58,00",284,мучное,,,,,,,,,,,,,,
Булка городская,100,"7,80","2,50","50,50",261,мучное,,,,,,,,,,,,,,
Булочка кунцевская,100,"8,20","5,30","53,70",300,мучное,,,,,,,,,,,,,,
Булочки диетические с лецитином,100,"16,20","14,80","28,20",313,мучное,,,,,,,,,,,,,,
Бульон говяжий,100,"0,60","0,20","0,00",4,супы,,,,,,,,,,,,,,
Бульон грибной,100,"0,10","0,00","0,03",1,супы,,,,,,,,,,,,,,
Бульон куриный,100,"0,50","0,10","0,00",3,супы,,,,,,,,,,,,,,
Бульон рыбный,100,"0,40","0,04","0,00",2,супы,,,,,,,,,,,,,,
Ванильный сахар,100,"0,00","0,00","98,00",392,прочее,,,,,,,,,,,,,,
Варенье из айвы,100,"0,40","0,00","68,70",263,сладости,,,,,,,,,,,,,,
Варенье из груш,100,"0,40","0,00","70,90",271,сладости,,,,,,,,,,,,,,
Варенье из клубники,100,"0,30","0,00","70,90",271,сладости,,,,,,,,,,,,,,
Варенье из малины,100,"0,60","0,00","71,20",275,сладости,,,,,,,,,,,,,,
Варенье из мандаринов,100,"0,70","0,00","72,30",278,сладости,,,,,,,,,,,,,,
Варенье из персиков,100,"0,50","0,00","64,30",248,сладости,,,,,,,,,,,,,,
Варенье из сливы,100,"0,40","0,00","73,40",281,сладости,,,,,,,,,,,,,,
Варенье из черноплодной рябины,100,"0,40","0,00","63,80",246,сладости,,,,,,,,,,,,,,
Варенье из яблок,100,"0,40","0,00","66,20",254,сладости,,,,,,,,,,,,,,
Варенье малиновое,100,"0,60","0,00","71,20",275,сладости,,,,,,,,,,,,,,
Ватрушка с творогом,100,"10,60","12,30","40,10",318,сладости,,,,,,,,,,,,,,
Вафли FLARONIS,100,"13,40","3,40","76,50",435,сладости,,,,,,,,,,,,,,
Вафли с жиросодержащими начинками,100,"3,40","30,20","64,70",539,сладости,,,,,,,,,,,,,,
Вафли с фруктовыми начинками,100,"3,20","2,80","80,10",350,сладости,,,,,,,,,,,,,,
Вермут 13% алкоголя,100,"0,00","0,00","15,90",158,алкоголь,,,,,,,,,,,,,,
Ветчина в форме,100,"22,60","20,90","0,00",279,мясо,,,,,,,,,,,,,,
Ветчина из говядины (Империя вкуса),100,"12,00","3,00","0,00",75,мясо,,,,,,,,,,,,,,
Ветчина из говядины запеченая (Империя вкуса),100,"20,00","3,00","0,00",107,мясо,,,,,,,,,,,,,,
Ветчина из индейки (Империя вкуса),100,"13,80","4,00","0,00","91,2",мясо,,,,,,,,,,,,,,
Ветчина Индейка европейская (Микоян),100,"12,00","4,00","0,00",134,мясо,,,,,,,,,,,,,,
Ветчина любительская,100,"14,90","13,70","0,00",183,мясо,,,,,,,,,,,,,,
Ветчина особая,100,"17,60","6,20","0,00",126,мясо,,,,,,,,,,,,,,
Винегрет,100,"1,30","6,00","7,80",92,смеш.блюда,,,,,,,,,,,,,,
Вино белое 10% алкоголя,100,"0,00","0,00","4,50",66,алкоголь,,,,,,,,,,,,,,
Вино белое 12.5% алкоголя,100,"0,00","0,00","4,00",78,алкоголь,,,,,,,,,,,,,,
Вино белое сладкое 12% алкоголя,100,"0,00","0,00","2,30",98,алкоголь,,,,,,,,,,,,,,
Вино белое сладкое 13.5%алкоголя,100,"0,00","0,00","5,90",98,алкоголь,,,,,,,,,,,,,,
Вино белое сухое 12% алкоголя,100,"0,00","0,00","2,30",66,алкоголь,,,,,,,,,,,,,,
Вино красное 12% алкоголя,100,"0,00","0,00","2,30",76,алкоголь,,,,,,,,,,,,,,
Виноград,100,"0,60","0,20","15,00",65,фрукты,,,,,,,,,,"0,09",4,,,
Виноградный сок,100,"0,30","0,00","13,80",54,соки,,,,,,,,,,,,,,
Виски 40% алкоголя,100,"0,00","0,00","0,00",220,алкоголь,,,,,,,,,,,,,,
Вишневый сок,100,"0,70","0,00","10,20",47,соки,,,,,,,,,,,,,,
Вишня,100,"0,80","0,50","10,30",52,ягоды,,,,,,,,,,,,,,
Вишня кислая (морож.),100,"0,80","0,03","7,85","34,87",ягоды,,,,,,,,,,"0,09",4,,,
Вобла вяленая,100,"46,40","5,50","0,00",235,рыба,,,,,,,,,,,,,,
Вобла хол.копч.,100,"31,10","6,30","0,00",181,рыба,,,,,,,,,,,,,,
Водка 40% алкоголя,100,"0,00","0,00","0,10",235,алкоголь,,,,,,,,,,,,,,
Воздушная кукуруза,100,"13,00","4,00","72,00",382,сладости,,,,,,,,,,,,,,
Галеты,100,"9,20","10,20","68,40",415,сладости,,,,,,,,,,,,,,
Гематоген,100,"6,10","2,90","75,60",391,сладости,"100,00",,,,,,,,,,,,,
Геркулес,100,"11,00","6,20","50,10",305,"каши, крупы",,,,,,,,,,,,,,
Говядина антрекот (МЕТРО),100,"20,00","3,00","0,00",107,мясо,,,,,,,,,,,,,,
Говядина вырезка,100,"28,00","9,00","0,00",199,мясо,,,,,,,,,,,,,,
Говядина вырезка (МЕТРО),100,"19,00","5,00","0,00",123,мясо,,,,,,,,,,,,,,
Говядина копченая (МИКОЯН),100,"21,60","6,00","0,00","140,4",мясо,,,,,,,,,,,,,,
Говядина отварная,100,"25,80","16,80","0,00",254,мясо,,,,,,,,,,,,,,
Говядина тушеная,100,"14,30","5,30","3,30",117,мясо,,,,,,,,,,,,,,
Голубика,100,"1,10","0,00","5,80",22,ягоды,,,,,,,,,,,,,,
Горбуша,100,"20,90","5,80","0,00",136,рыба,,,,,,,,,,,,,,
Горбуша в томатн.соусе,100,"14,50","5,10","6,90",132,рыба,,,,,,,,,,,,,,
Горбуша вареная,100,"22,90","7,80","0,10",168,рыба,,,,,,,,,,,,,,
Горбуша соленая,100,"22,10","9,00","0,00",169,рыба,,,,,,,,,,,,,,
Горох сушеный,100,"20,50","2,00","48,60",298,"каши, крупы",,,,,,,,,,,,,,
Горошек зеленый,100,"5,10","0,20","13,10",75,овощи,"23,40",,"0,40",,,,,,,,,,,
Гранат,100,"0,70","0,60","14,50","62,6",фрукты,,,,,,,,,,"0,03",2,,,
Гранатовый сок,100,"0,30","0,00","14,50",64,соки,,,,,,,,,,,,,,
Грейпфрут,100,"0,90","0,20","6,50","31,4",фрукты,,,,,,,,,,"0,03",2,,,
Грейпфрутовый сок,100,"0,30","0,00","8,00",36,соки,,,,,,,,,,,,,,
Гречневая каша (Myllyn Paras),100,"13,00","1,70","67,50",340,"каши, крупы",,,"0,8",,"0,6","0,2",,,,,,,"7,00E-03",
Гречневая крупа Мистраль,100,"13,60","3,30","65,00",347,"каши, крупы",,"6,00","6,70",,"0,4","0,2","4,2",,,"0,4",32,,,
Гречневая продел,100,"9,50","2,30","65,90",329,"каши, крупы",,,,,,,,,,,,,,
Гречневая ядрица,100,"12,60","3,30","62,10",335,"каши, крупы",,,,,,,,,,,,,,
"Грибы ассорти ""Грибное лукошко""",100,"2,90","1,00","1,10",25,грибы,,,,,,,,,,"7,00E-02",,,,
Грудинка сырокопченая,100,"8,90","63,30","0,00",605,мясо,,,,,,,,,,,,,,
Грузди,100,"1,80","0,80","0,50",16,грибы,,,,,,,,,,,,,,
Груша,100,"0,40","0,30","9,50",42,фрукты,,,,,,,,,,"0,03",2,,,
Гуава,100,"0,80","0,60","0,00",57,фрукты,,,,,,,,,,,,,,
Гуляш,100,"12,30","12,20","3,90",175,мясо,,,,,,,,,,,,,,
Гуляш говяжий,100,"17,10","12,00","4,00",192,мясо,,,,,,,,,,,,,,
Гуляш свиной,100,"15,00","22,80","4,00",281,мясо,,,,,,,,,,,,,,
Джем из абрикосов,100,"0,50","0,00","68,80",265,сладости,,,,,,,,,,,,,,
Джем из мандаринов,100,"0,30","0,00","67,80",259,сладости,,,,,,,,,,,,,,
Джем из черной смородины,100,"0,60","0,00","68,20",265,сладости,,,,,,,,,,,,,,
Джин 40% алкоголя,100,"0,00","0,00","0,00",220,алкоголь,,,,,,,,,,,,,,
Драже ореховое,100,"11,90","38,30","41,00",552,сладости,,,,,,,,,,,,,,
Драже сахарное,100,"0,00","0,00","98,00",374,сладости,,,,,,,,,,,,,,
Драже фруктово-ягодное в шоколаде,100,"5,70","10,20","73,10",389,сладости,,,,,,,,,,,,,,
Дыня,100,"0,60","0,00","9,10",38,фрукты,,,,,,,,,,,,,,
Ежевика,100,"2,10","0,00","4,60",31,ягоды,"15,60","0,10",,,,,,,,,,,,
Желатин пищевой,100,"87,20","0,40","0,70",355,прочее,,,,,,,,,,,,,,
Жир бараний топленый,100,"0,00","99,70","0,00",897,масла,,,,,,,,,,,,,,
Жир говяжий топленый,100,"0,00","99,70","0,00",897,масла,,,,,,,,,,,,,,
Жир свиной (лярд),100,"0,00","99,70","0,00",897,масла,,,,,,,,,,,,,,
Завтрак туриста (говядина),100,"20,50","10,40","0,00",176,мясо,,,,,,,,,,,,,,
Завтрак туриста (свинина),100,"16,90","15,40","0,00",206,мясо,,,,,,,,,,,,,,
Земляника садовая,100,"0,80","0,40","7,50","36,8",ягоды,,,,,,,,,,,,,,
Зерна пшеницы,100,"13,00","2,00","65,00",318,прочее,,,25,,,,,,,,,,,
Зефир,100,"0,80","0,00","78,80","298,7",сладости,,,,,,"0,01",,,,,,,,
Зубатка,100,"15,50","5,80","0,00",114,рыба,,,,,,,,,,,,,,
Изюм,100,"1,80","0,00","66,00",262,сухофрукты,,,,,,,,,,"0,27",,,,
"икра баклажаная ""От михалыча""",100,"1,50","4,00","7,00",70,овощи,,,,,,,,,,,,,,
Икра белужья зернистая,100,"27,20","14,20","0,00",237,рыба,,,,,,,,,,,,,,
Икра горбуши зернистая,100,"31,20","11,70","0,00",230,рыба,,,,,,,,,,,,,,
Икра из баклажанов,100,"1,70","13,30","5,09",148,овощи,,,,,,,,,,,,,,
Икра из кабачков,100,"2,00","9,00","8,54",122,овощи,,,,,,,,,,,,,,
Икра кеты зернистая,100,"31,60","13,80","0,00",251,рыба,,,,,,,,,,,,,,
Икра минтаевая пробойная,100,"28,40","1,90","0,00",131,рыба,,,,,,,,,,,,,,
Икра осетровая зернистая,100,"28,90","9,70","0,00",203,рыба,,,,,,,,,,,,,,
Икра осетровая паюсная,100,"36,00","10,20","0,00",236,рыба,,,,,,,,,,,,,,
Икра севрюжья зернистая,100,"28,40","11,90","0,00",221,рыба,,,,,,,,,,,,,,
Имунеле NEO (Вимм-Билль-Данн),100,"1,80","0,90","12,10","63,7",молочные,,,,,,,,,,,,,,
Индейка жареная,100,"26,20","13,50","0,00",226,мясо,,,,,,,,,,,,,,
Индейка отварная,100,"25,30","10,40","0,00",195,мясо,,,,,,,,,,,,,,
Индейка филе (БИБИГОН),100,"20,20","5,60","0,00","131,2",мясо,"1,80","44,00","0,20",,"0,07","0,20","7,70","76,00","0,8","0,52","4,3","0,55",,10
Индейка шницель (Егорьевская п/ф),100,"19,80","6,70","0,00",130,мясо,"1,80","44,00","0,20",,"0,07","0,20","7,70","76,00","0,8","0,52","4,3","0,55",,10
Инжир,100,"0,70","0,20","12,00",49,фрукты,"2,00","50,00",,,"0,06","0,05","0,5",,"0,4","0,1",10,,,
Инжир сушеный,100,"3,10","1,20","53,20",238,сухофрукты,,,,,,,,,,,,,,
Иогурт 3.2%-ной жирн. Сладкий,100,"5,00","3,20","8,50",85,молочные,,,,,,,,,,,,,,
Ирис полутвердый,100,"3,30","7,50","81,80",395,сладости,,,,,,,,,,,,,,
Ирис тираженный,100,"3,60","7,30","83,50",400,сладости,,,,,,,,,,,,,,
"Йогурт ""Активия"" с черносливом",100,"5,40","4,20","16,00","123,4",молочные,,,,,,,,,,,,,,
Йогурт 1.5%-нойжирн.,100,"5,00","1,50","3,50",51,молочные,,,,,,,,,,,,,,
Йогурт 1.5%-ный сладкий,100,"5,00","1,50","8,50",70,молочные,,,,,,,,,,,,,,
Йогурт 3.2%-ной жирн.,100,"5,00","3,20","3,50",66,молочные,,,,,,,,,,,,,,
Кабачки,100,"0,60","0,30","4,90",23,овощи,,,,,,,,,,,,,,
Кабачки жареные,100,"1,10","6,00","6,70",88,овощи,,,,,,,,,,,,,,
"Какао порошок ""Золотой ярлык""",100,"24,70","15,00","28,50",364,прочее,,"20,00","3,00",,"0,1","0,3","1,8",,"1,5","0,3",45,,,
"Какао порошок ""Российский""",100,"24,40","11,00","28,10",309,прочее,,"20,00","3,00",,"0,1","0,3","1,8",,"1,5","0,3",45,,,
Какао со сгущ. молоком с сахаром,100,"8,20","7,50","54,90",309,сладости,,,,,,,,,,,,,,
Какао со сгущ. сливками с сахаром,100,"8,20","15,50","48,30",356,сладости,,,,,,,,,,,,,,
Калач московский,100,"7,90","0,80","51,00",249,мучное,,,,,,,,,,,,,,
Кальмар,100,"18,00","4,20","0,00",110,рыба,,,,,,,,,,"0,18",,,,
Камбала,100,"18,30","3,30","0,00",103,рыба,,,,,,,,,,,,,,
Камбала в томатн.соусе,100,"12,60","5,40","6,30",125,рыба,,,,,,,,,,,,,,
Камбала гор.копч.,100,"22,00","11,60","0,00",192,рыба,,,,,,,,,,,,,,
Камбала обжаренная в масле,100,"14,40","21,30","0,00",249,рыба,,,,,,,,,,,,,,
Капуста белокочанная,100,"1,80","0,10","4,70",27,овощи,,,,,,,,,,,,,,
Капуста белокочанная жареная,100,"1,80","2,80","4,20",49,овощи,,,,,,,,,,,,,,
Капуста белокочанная отварная,100,"1,40","0,10","3,90",21,овощи,,,,,,,,,,,,,,
Капуста белокочанная тушеная,100,"2,00","3,30","9,60",75,овощи,,,,,,,,,,,,,,
Капуста брокколи,100,"2,70","0,40","4,70",24,овощи,,"139,00",,,,,,,,,,,"0,131",
Капуста брюссельская,100,"4,50","0,50","8,10",34,овощи,"120,00","88,00",,,,,,,,"0,28",31,,,
Капуста брюссельская хортекс,100,"4,60","0,60","8,40",35,овощи,"120,00","88,00",,,,,,,,"0,28",31,,,
Капуста квашеная,100,"1,80","0,10","3,00","19,4",овощи,30,,,,"0,02","0,02","0,4",,,,,,,
Капуста кольраби,100,"2,80","0,00","7,90",42,овощи,,,,,,,,,,,,,,
Капуста краснокочанная,100,"0,80","0,00","5,20",24,овощи,,,,,,,,,,,,,,
Капуста пекинская,100,"1,20","0,20","2,20",16,овощи,,,,,,,,,,,,,,
Капуста Романеско (Бондюэль),100,"2,90","0,50","2,20","24,9",овощи,,,,,,,,,,,,,,
Капуста цветная,100,"2,50","0,30","4,50",30,овощи,"70,00",,,,,,,,,"0,16",23,,,
Капуста цветная отварная,100,"1,80","0,30","4,00",26,овощи,,,,,,,,,,,,,,
Карамель леденцовая,100,"0,00","0,10","95,70",370,сладости,,,,,,,,,,,,,,
Карамель с ликерными начинками,100,"0,00","0,10","92,60",358,сладости,,,,,,,,,,,,,,
Карамель с молочными начинками,100,"0,80","1,00","91,20",363,сладости,,,,,,,,,,,,,,
Карамель с ореховыми начинками,100,"3,10","7,30","86,60",410,сладости,,,,,,,,,,,,,,
Карамель с помадными начинками,100,"0,00","0,10","94,70",366,сладости,,,,,,,,,,,,,,
Карамель с прохладительными начинками,100,"0,00","10,00","88,00",429,сладости,,,,,,,,,,,,,,
Карамель с фруктово-ягодными начинками,100,"0,10","0,10","92,10",357,сладости,,,,,,,,,,,,,,
Карамель с шоколадно-ореховыми начинками,100,"1,80","9,20","86,10",420,сладости,,,,,,,,,,,,,,
Карась,100,"20,70","2,10","0,00",102,рыба,,,,,,,,,,,,,,
Карп,100,"19,40","5,30","0,00",125,рыба,,,,,,,,,,,,,,
Картофель,100,"2,00","0,40","16,30",80,овощи,,,,,,,,,,,,,,
Картофель жареный,100,"2,80","9,50","23,40",192,овощи,,,,,,,,,,,,,,
Картофель отварной,100,"2,00","0,40","16,70",82,овощи,,,,,,,,,,,,,,
Картофельное пюре,100,"2,20","0,80","14,30",74,овощи,,,,,,,,,,,,,,
Картофельные чипсы,100,"2,20","35,40","48,60",531,сладости,,,,,,,,,,,,,,
